Name,Department,Faculty,Profile_Link
Prof. D.C. Bandara,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=173
Prof. V.A. Sumanasinghe,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=22
Prof. D.M.D. Costa,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=24
Dr. H.M.V.G. Herath,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=25
Dr. S.A.C.N. Perera,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=26
Dr. N.U. Jayawardana,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=28
Dr. D.V. Jayatilake,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=27
Ms. V.N.S. Sirimalwatta,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=30
Mr. W.H. Jayasinghe,Department of Agricultural Biology,Faculty of Agriculture,http://agri.pdn.ac.lk/abo/staff_profile?xqrt=31
Prof. S.S. Kodithuwakku,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=52
Prof. J. Weerahewa,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=53
Prof. L.H.P. Gunaratne,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=51
Dr. S. Kumar,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=55
Dr. P. Weligamage,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=54
Dr. D.V.P. Prasada,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=49
Dr. S.D.S. Hemachandra,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=48
Dr. P. Korale Gedara,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=50
Dr. S.A. Weerasooriya,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=162
Ms. H. Rathnasekera,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=116
Ms. V. Jayaweera,Department of Agricultural Economics and Business Management,Faculty of Agriculture,http://agri.pdn.ac.lk/agebm/staff_profile?xqrt=56
Dr. S.Pathmarajah,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=160
Prof. K.G.A. Goonasekara,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=192
Prof. E.R.N.Gunawardena,Department of Agricultural Engineering,Faculty of Agriculture,http://agri.pdn.ac.lk/agen/staff_profile?xqrt=153
